dataset_id,link,tags,description
shidowake/glaive-code-assistant-v1-sharegpt-format_split_7,https://huggingface.co/datasets/shidowake/glaive-code-assistant-v1-sharegpt-format_split_7,"['size_categories:1K<n<10K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
shidowake/glaive-code-assistant-v1-sharegpt-format_split_8,https://huggingface.co/datasets/shidowake/glaive-code-assistant-v1-sharegpt-format_split_8,"['size_categories:1K<n<10K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
shidowake/glaive-code-assistant-v1-sharegpt-format_split_9,https://huggingface.co/datasets/shidowake/glaive-code-assistant-v1-sharegpt-format_split_9,"['size_categories:1K<n<10K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
shidowake/glaive-code-assistant-v1-sharegpt-format_split_10,https://huggingface.co/datasets/shidowake/glaive-code-assistant-v1-sharegpt-format_split_10,"['size_categories:1K<n<10K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
shidowake/glaive-code-assistant-v1-sharegpt-format_split_11,https://huggingface.co/datasets/shidowake/glaive-code-assistant-v1-sharegpt-format_split_11,"['size_categories:1K<n<10K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
shidowake/glaive-code-assistant-v1-sharegpt-format_split_12,https://huggingface.co/datasets/shidowake/glaive-code-assistant-v1-sharegpt-format_split_12,"['size_categories:1K<n<10K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
shidowake/glaive-code-assistant-v1-sharegpt-format_split_13,https://huggingface.co/datasets/shidowake/glaive-code-assistant-v1-sharegpt-format_split_13,"['size_categories:1K<n<10K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
shidowake/glaive-code-assistant-v1-sharegpt-format_split_14,https://huggingface.co/datasets/shidowake/glaive-code-assistant-v1-sharegpt-format_split_14,"['size_categories:1K<n<10K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
shidowake/glaive-code-assistant-v1-sharegpt-format_split_15,https://huggingface.co/datasets/shidowake/glaive-code-assistant-v1-sharegpt-format_split_15,"['size_categories:1K<n<10K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
shidowake/glaive-code-assistant-v1-sharegpt-format_split_16,https://huggingface.co/datasets/shidowake/glaive-code-assistant-v1-sharegpt-format_split_16,"['size_categories:1K<n<10K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
shidowake/glaive-code-assistant-v1-sharegpt-format_split_17,https://huggingface.co/datasets/shidowake/glaive-code-assistant-v1-sharegpt-format_split_17,"['size_categories:1K<n<10K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
shidowake/glaive-code-assistant-v1-sharegpt-format_split_18,https://huggingface.co/datasets/shidowake/glaive-code-assistant-v1-sharegpt-format_split_18,"['size_categories:1K<n<10K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
shidowake/glaive-code-assistant-v1-sharegpt-format_split_19,https://huggingface.co/datasets/shidowake/glaive-code-assistant-v1-sharegpt-format_split_19,"['size_categories:1K<n<10K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
mahiatlinux/Glaive-code-assistant-ShareGPT,https://huggingface.co/datasets/mahiatlinux/Glaive-code-assistant-ShareGPT,"['size_categories:100K<n<1M', 'format:json', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
Iker/glaive-code-assistant-v3-sharegpt,https://huggingface.co/datasets/Iker/glaive-code-assistant-v3-sharegpt,"['language:en', 'license:apache-2.0', 'size_categories:100K<n<1M', 'format:parquet', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us', 'synthetic']","glaiveai/glaive-code-assistant-v3 transformed to sharegpt format to easily train models using axolotl
"
jerry128/taubench-tool-calling-Qwen2.5-7B-Instruct-0.0_range_0-10_user-gpt-4o-llm_1116210635,https://huggingface.co/datasets/jerry128/taubench-tool-calling-Qwen2.5-7B-Instruct-0.0_range_0-10_user-gpt-4o-llm_1116210635,"['size_categories:n<1K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
Fuleee/springboot-code-completion-dataset,https://huggingface.co/datasets/Fuleee/springboot-code-completion-dataset,"['task_categories:text-generation', 'task_categories:fill-mask', 'language:zh', 'license:mit', 'size_categories:10K<n<100K', 'modality:text', 'region:us', 'java', 'spring-boot', 'code-completion', 'peft', 'lora', 'qlora', 'code-dataset', 'instruction-tuning']","
	
		
		Spring Boot Code Completion Dataset
	


	
		
		概述
	

这是一个专为 Spring Boot 框架代码补全任务设计的中文优先数据集。通过从 GitHub 上 90 个高质量开源 Spring Boot 项目中提取方法级、类级代码片段及配置文件，构建而成。数据集重点突出 Spring Boot 典型特征（注解驱动、依赖注入、配置绑定等），适用于参数高效微调（PEFT，如 LoRA/QLoRA）下的代码生成研究。

	
		
		数据集统计
	


总样本数：81,085 条  
训练集：64,868 条  
验证集：8,108 条  
测试集：8,109 条  
优先级 2 样本数（含典型 Spring Boot 特征，如 @RestController、@Service、@Entity 等）：19,740 条  
优先级 2 占比：24.34%


	
		
		数据格式（Alpaca 风格）
	

每条数据为 JSON 对象，包含以下字段：
{
  ""instruction"": ""请在Spring… See the full description on the dataset page: https://huggingface.co/datasets/Fuleee/springboot-code-completion-dataset."
evanellis/codeforces_with_only_correct_completions,https://huggingface.co/datasets/evanellis/codeforces_with_only_correct_completions,"['size_categories:10K<n<100K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/manifold,https://huggingface.co/datasets/evanellis/manifold,"['size_categories:n<1K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/evanellis-Codeforces-Python-Submissions_synthetic,https://huggingface.co/datasets/evanellis/evanellis-Codeforces-Python-Submissions_synthetic,"['size_categories:1K<n<10K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-LLM-Generations,https://huggingface.co/datasets/evanellis/Codeforces-LLM-Generations,"['size_categories:1K<n<10K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-LLM-Generations_with_completions,https://huggingface.co/datasets/evanellis/Codeforces-LLM-Generations_with_completions,"['size_categories:1K<n<10K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/codeforces_with_h_a_10000_with_null,https://huggingface.co/datasets/evanellis/codeforces_with_h_a_10000_with_null,"['size_categories:10K<n<100K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/evanellis_Codeforces-LLM-Generations_with_h_a_3112_emp_threshold_0_emp_mlp,https://huggingface.co/datasets/evanellis/evanellis_Codeforces-LLM-Generations_with_h_a_3112_emp_threshold_0_emp_mlp,"['size_categories:1K<n<10K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/evanellis_Codeforces-LLM-Generations_with_h_a_3112_emp_threshold_0_emp_mlp_k_prob_0.5,https://huggingface.co/datasets/evanellis/evanellis_Codeforces-LLM-Generations_with_h_a_3112_emp_threshold_0_emp_mlp_k_prob_0.5,"['size_categories:1K<n<10K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-LLM-Generations_with_suggested_and_accepted,https://huggingface.co/datasets/evanellis/Codeforces-LLM-Generations_with_suggested_and_accepted,"['size_categories:n<1K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/evanellis_Codeforces-LLM-Generations_with_h_a_3112_emp_threshold_0_emp_mlp_with_null,https://huggingface.co/datasets/evanellis/evanellis_Codeforces-LLM-Generations_with_h_a_3112_emp_threshold_0_emp_mlp_with_null,"['size_categories:1K<n<10K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/codeforces_with_h_a_10000_with_null_and_rejected,https://huggingface.co/datasets/evanellis/codeforces_with_h_a_10000_with_null_and_rejected,"['size_categories:10K<n<100K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-Python-Submissions_correct,https://huggingface.co/datasets/evanellis/Codeforces-Python-Submissions_correct,"['size_categories:100K<n<1M', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/evanellis_Codeforces-Python-Submissions_correct_with_h_a_k_prob_0.5_with_null_and_rejected,https://huggingface.co/datasets/evanellis/evanellis_Codeforces-Python-Submissions_correct_with_h_a_k_prob_0.5_with_null_and_rejected,"['size_categories:100K<n<1M', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/evanellis_Codeforces-Python-Submissions_correct_with_h_a_k_prob_0.5_with_null_and_rejected_emp,https://huggingface.co/datasets/evanellis/evanellis_Codeforces-Python-Submissions_correct_with_h_a_k_prob_0.5_with_null_and_rejected_emp,"['size_categories:100K<n<1M', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/evanellis_Codeforces-Python-Submissions_correct_with_h_a_k_prob_0.5_with_null_and_rejected_f,https://huggingface.co/datasets/evanellis/evanellis_Codeforces-Python-Submissions_correct_with_h_a_k_prob_0.5_with_null_and_rejected_f,"['size_categories:100K<n<1M', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/evanellis_Codeforces-Python-Submissions_correct_with_h_a_k_prob_0.5_with_null_and_rejected_f_z,https://huggingface.co/datasets/evanellis/evanellis_Codeforces-Python-Submissions_correct_with_h_a_k_prob_0.5_with_null_and_rejected_f_z,"['size_categories:10K<n<100K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/evanellis_Codeforces-Python-Submissions_correct_with_h_a_k_prob_0.5_with_null_and_rejected_f_z_f,https://huggingface.co/datasets/evanellis/evanellis_Codeforces-Python-Submissions_correct_with_h_a_k_prob_0.5_with_null_and_rejected_f_z_f,"['size_categories:n<1K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-LLM-Generations-n10,https://huggingface.co/datasets/evanellis/Codeforces-LLM-Generations-n10,"['size_categories:10K<n<100K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null_and_rejected,https://huggingface.co/datasets/evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null_and_rejected,"['size_categories:10K<n<100K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null_and_rejected_f,https://huggingface.co/datasets/evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null_and_rejected_f,"['size_categories:10K<n<100K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null_and_rejected_f_z,https://huggingface.co/datasets/evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null_and_rejected_f_z,"['size_categories:10K<n<100K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null_and_rejected_f_z_synced,https://huggingface.co/datasets/evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null_and_rejected_f_z_synced,"['size_categories:10K<n<100K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null_and_rejected_f_z_synced_emp,https://huggingface.co/datasets/evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null_and_rejected_f_z_synced_emp,"['size_categories:10K<n<100K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null_and_rejected_f_z_emp,https://huggingface.co/datasets/evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null_and_rejected_f_z_emp,"['size_categories:10K<n<100K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null,https://huggingface.co/datasets/evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null,"['size_categories:10K<n<100K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null_f,https://huggingface.co/datasets/evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null_f,"['size_categories:10K<n<100K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null_f_emp,https://huggingface.co/datasets/evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null_f_emp,"['size_categories:10K<n<100K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null_with_hn,https://huggingface.co/datasets/evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null_with_hn,"['size_categories:10K<n<100K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null_with_hn_f,https://huggingface.co/datasets/evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null_with_hn_f,"['size_categories:10K<n<100K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null_with_hn_f_emp,https://huggingface.co/datasets/evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null_with_hn_f_emp,"['size_categories:10K<n<100K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null_with_hn_f_emp_f_longest,https://huggingface.co/datasets/evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null_with_hn_f_emp_f_longest,['region:us'],
evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null_with_hn_f_emp_f_empowerment,https://huggingface.co/datasets/evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null_with_hn_f_emp_f_empowerment,"['size_categories:100K<n<1M', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null_with_hn_f_emp_f_random_old,https://huggingface.co/datasets/evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null_with_hn_f_emp_f_random_old,"['size_categories:100K<n<1M', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null_with_hn_f_emp_f_shortest,https://huggingface.co/datasets/evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null_with_hn_f_emp_f_shortest,"['size_categories:n<1K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null_with_hn_f_emp_f_random,https://huggingface.co/datasets/evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null_with_hn_f_emp_f_random,"['size_categories:100K<n<1M', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null_with_hn_f_emp_f_longest_random,https://huggingface.co/datasets/evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null_with_hn_f_emp_f_longest_random,"['size_categories:n<1K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null_with_hn_f_emp_f_empowerment_deduped,https://huggingface.co/datasets/evanellis/Codeforces-LLM-Generations-n10_with_h_a_with_null_with_hn_f_emp_f_empowerment_deduped,"['size_categories:10K<n<100K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-Python_Submissions_reformatted_deduped_llama3.3,https://huggingface.co/datasets/evanellis/Codeforces-Python_Submissions_reformatted_deduped_llama3.3,"['size_categories:1K<n<10K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-LLM-Generations-n10_deduped,https://huggingface.co/datasets/evanellis/Codeforces-LLM-Generations-n10_deduped,"['size_categories:1K<n<10K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-LLM-Generations-n10_deduped_with_null,https://huggingface.co/datasets/evanellis/Codeforces-LLM-Generations-n10_deduped_with_null,"['size_categories:1K<n<10K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-LLM-Generations-n10_deduped_f,https://huggingface.co/datasets/evanellis/Codeforces-LLM-Generations-n10_deduped_f,"['size_categories:1K<n<10K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-LLM-Generations-n10_deduped_f_emp,https://huggingface.co/datasets/evanellis/Codeforces-LLM-Generations-n10_deduped_f_emp,"['size_categories:1K<n<10K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-LLM-Generations-n10_deduped_f_emp_f_random,https://huggingface.co/datasets/evanellis/Codeforces-LLM-Generations-n10_deduped_f_emp_f_random,"['size_categories:10K<n<100K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-LLM-Generations-n10_deduped_f_emp_f_random_deduped,https://huggingface.co/datasets/evanellis/Codeforces-LLM-Generations-n10_deduped_f_emp_f_random_deduped,"['size_categories:n<1K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/dummy_dataset,https://huggingface.co/datasets/evanellis/dummy_dataset,"['size_categories:n<1K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-Python_Submissions_reformatted_deduped_llama3.3_with_testcases,https://huggingface.co/datasets/evanellis/Codeforces-Python_Submissions_reformatted_deduped_llama3.3_with_testcases,"['size_categories:1K<n<10K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-Python_Submissions_reformatted_deduped_llama3.3_with_null,https://huggingface.co/datasets/evanellis/Codeforces-Python_Submissions_reformatted_deduped_llama3.3_with_null,"['size_categories:1K<n<10K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-Python_Submissions_reformatted_deduped_llama3.3_with_testcases_correct,https://huggingface.co/datasets/evanellis/Codeforces-Python_Submissions_reformatted_deduped_llama3.3_with_testcases_correct,"['size_categories:n<1K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-Python_Submissions_reformatted_deduped_llama3.3_with_null_f,https://huggingface.co/datasets/evanellis/Codeforces-Python_Submissions_reformatted_deduped_llama3.3_with_null_f,"['size_categories:1K<n<10K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-Python_Submissions_reformatted_deduped_llama3.3_diverse_with_null,https://huggingface.co/datasets/evanellis/Codeforces-Python_Submissions_reformatted_deduped_llama3.3_diverse_with_null,"['size_categories:1K<n<10K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-Python_Submissions_reformatted_deduped_llama3.3_diverse_with_null_f,https://huggingface.co/datasets/evanellis/Codeforces-Python_Submissions_reformatted_deduped_llama3.3_diverse_with_null_f,"['size_categories:1K<n<10K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-Python_Submissions_reformatted_deduped_llama3.3_with_blind_null,https://huggingface.co/datasets/evanellis/Codeforces-Python_Submissions_reformatted_deduped_llama3.3_with_blind_null,"['size_categories:1K<n<10K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-Python_Submissions_reformatted_deduped_llama3.3_with_blind_null_f,https://huggingface.co/datasets/evanellis/Codeforces-Python_Submissions_reformatted_deduped_llama3.3_with_blind_null_f,"['size_categories:1K<n<10K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-Python_Submissions_reformatted_deduped_llama3.3_x6,https://huggingface.co/datasets/evanellis/Codeforces-Python_Submissions_reformatted_deduped_llama3.3_x6,"['size_categories:10K<n<100K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-Python_Submissions_reformatted_deduped_llama3.3_x6_with_blind_null,https://huggingface.co/datasets/evanellis/Codeforces-Python_Submissions_reformatted_deduped_llama3.3_x6_with_blind_null,"['size_categories:10K<n<100K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-Python_Submissions_reformatted_deduped_llama3.3_x6_with_blind_null_f,https://huggingface.co/datasets/evanellis/Codeforces-Python_Submissions_reformatted_deduped_llama3.3_x6_with_blind_null_f,"['size_categories:10K<n<100K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-Python_Submissions_reformatted_deduped_llama3.3_x6_multiplied,https://huggingface.co/datasets/evanellis/Codeforces-Python_Submissions_reformatted_deduped_llama3.3_x6_multiplied,"['size_categories:10K<n<100K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-Python_Submissions_reformatted_deduped_llama3.3_x6_multiplied_with_blind_null,https://huggingface.co/datasets/evanellis/Codeforces-Python_Submissions_reformatted_deduped_llama3.3_x6_multiplied_with_blind_null,"['size_categories:10K<n<100K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-Python_Submissions_reformatted_deduped_llama3.3_x6_multiplied_with_blind_null_f,https://huggingface.co/datasets/evanellis/Codeforces-Python_Submissions_reformatted_deduped_llama3.3_x6_multiplied_with_blind_null_f,"['size_categories:10K<n<100K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-Python_Submissions_reformatted_deduped_llama3.3_nomic_f,https://huggingface.co/datasets/evanellis/Codeforces-Python_Submissions_reformatted_deduped_llama3.3_nomic_f,"['size_categories:10K<n<100K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-Python_Submissions_reformatted_deduped_llama3.3_x6_multiplied_with_blind_null_f_emp,https://huggingface.co/datasets/evanellis/Codeforces-Python_Submissions_reformatted_deduped_llama3.3_x6_multiplied_with_blind_null_f_emp,"['size_categories:10K<n<100K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/empowerment_v2_assistant_ds_1_100,https://huggingface.co/datasets/evanellis/empowerment_v2_assistant_ds_1_100,"['size_categories:10K<n<100K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/agreement_assistant_ds,https://huggingface.co/datasets/evanellis/agreement_assistant_ds,"['size_categories:10K<n<100K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/agreement_assistant_ds_f,https://huggingface.co/datasets/evanellis/agreement_assistant_ds_f,"['size_categories:10K<n<100K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/Codeforces-Python_Submissions_reformatted_deduped_llama3.3_x6_multiplied_with_blind_null_deduped,https://huggingface.co/datasets/evanellis/Codeforces-Python_Submissions_reformatted_deduped_llama3.3_x6_multiplied_with_blind_null_deduped,"['size_categories:1K<n<10K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
